,Titres,Auteur(s),Liste,recensé,Notes
293,Fragments d'un enseignement inconnu,Petr Demianovitch Ouspensky,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,8.6
1135,Mélanges (1976),René Guénon,"097_tradition_primordiale, le_traditionalisme",2,8.6
89,Cette lumière en nous (1999),Jiddu Krishnamurti,"developpement_personnel, un_chemin_spirituel",2,8.5
824,Le Livre du dedans,Djalâl Al-Dîn Rûmi,"developpement_personnel, la_bibliotheque_ideale_4_selon_pacome_thiellement",2,8.5
1106,Masques et visages du spiritualisme contemporain,Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,8.5
519,L'Évangile de Philippe,,"097_tradition_primordiale, resonnances_mystiques",2,8.4
550,La Conférence des oiseaux (1177),Farīd al-Dīn Aṭṭār,"developpement_personnel, resonnances_mystiques",2,8.4
899,"Le Théosophisme, histoire d'une pseudo-religion (1921)",René Guénon,"097_tradition_primordiale, le_traditionalisme",2,8.4
609,La Mélodie secrète,Trinh Xuan Thuan,"developpement_personnel, resonnances_mystiques",2,8.3
891,Le Tabernacle des Lumières,Al-Ghazâlî,"developpement_personnel, la_gnose",2,8.3
1250,Psychologie et Alchimie,Carl Gustav Jung,"etats_de_conscience, la_gnose",2,8.3
308,Guerre et Paix (1867),Léon Tolstoï,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,8.2
349,Illuminations (1886),Arthur Rimbaud,"la_bibliotheque_ideale_4_selon_pacome_thiellement, resonnances_mystiques",2,8.2
516,L'Éthique (1677),Baruch Spinoza,"la_bibliotheque_ideale_4_selon_pacome_thiellement, la_gnose",2,8.2
835,Le Mesnevi : 150 contes soufis (1200),Djalâl Al-Dîn Rûmi,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,8.2
853,Le Paradis perdu (1667),John Milton,"la_gnose, resonnances_mystiques",2,8.2
23,Anna Karénine (1878),Léon Tolstoï,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,8.1
288,Forgerons et alchimistes (1956),Mircea Eliade,"097_tradition_primordiale, la_gnose",2,8.1
505,L'Âme et la Vie,Carl Gustav Jung,"resonnances_mystiques, un_chemin_spirituel",2,8.1
978,Les Carnets du sous-sol (1864),Fiodor Dostoïevski,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,8.1
996,Les Hommes au milieu des ruines,Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,8.1
1108,Matière et mémoire (1896),Henri Bergson,"resonnances_mystiques, un_chemin_spirituel",2,8.1
1134,Méditations du Haut des Cimes (2006),Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,8.1
1482,Œuvre complète,Tchouang-Tseu,"la_bibliotheque_ideale_4_selon_pacome_thiellement, la_gnose",2,8.1
8,Ainsi parlait Zarathoustra (1885),Friedrich Nietzsche,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,8
337,Hiérarchie et démocratie (1970),"Julius Evola, René Guénon","097_tradition_primordiale, le_traditionalisme",2,8
631,La Première et la Dernière Liberté (1954),Jiddu Krishnamurti,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,8
827,Le Livre tibétain de la vie et de la mort (1992),Sogyal Rinpoché,"la_gnose, un_chemin_spirituel",2,8
1014,Les Principes du calcul infinitésimal (1946),René Guénon,"097_tradition_primordiale, le_traditionalisme",2,8
1031,Les Tarahumaras (1945),Antonin Artaud,"resonnances_mystiques, voir",2,8
1294,Résurrection (1899),Léon Tolstoï,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,8
383,"Jésus, fils de l'homme",Khalil Gibran,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.9
942,Le petit livre noir,Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,7.9
950,"Le sable et l'écume, et autres poèmes",Khalil Gibran,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.9
1189,Pensées pour moi-même,"Marc-Aurèle, Épictète","resonnances_mystiques, sophia_perennis",2,7.9
1356,Tao-tö king,Lao-Tseu (Laozi),"developpement_personnel, la_gnose",2,7.9
354,Impérialisme païen (2004),Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,7.8
460,L'Offrande lyrique,Rabindranath Tagore,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.8
479,L'art de la paix (1992),Morihei Ueshiba,"etats_de_conscience, voir",2,7.8
1075,Lipstick Traces (1989),Greil Marcus,"la_bibliotheque_ideale_4_selon_pacome_thiellement, resonnances_mystiques",2,7.8
1272,Rencontres avec des hommes remarquables (1960),Georges Gurdjieff,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.8
13,Alexis Zorba (1946),Níkos Kazantzákis,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.7
163,De l'amour et de la solitude (1993),Jiddu Krishnamurti,"developpement_personnel, un_chemin_spirituel",2,7.7
285,Feuilles d'herbe (1891),Walt Whitman,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.7
540,La Bhagavadgita,,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.7
926,Le fascisme vu de droite,Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,7.7
1311,Se libérer du connu (1969),Jiddu Krishnamurti,"developpement_personnel, un_chemin_spirituel",2,7.7
1320,Siddhartha (1922),Hermann Hesse,"developpement_personnel, voir",2,7.7
65,Avoir un centre (1988),Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme",2,7.6
382,Jésus dans la tradition soufie,"Faouzi Skali, Eva de Vitray-Meyerovitch","097_tradition_primordiale, developpement_personnel",2,7.6
843,Le Mythe de Sisyphe (1942),Albert Camus,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.6
1100,Manuel d'Épictète (125),"Arrien, Épictète","developpement_personnel, resonnances_mystiques",2,7.6
1104,"Marcher, une philosophie (2008)",Frédéric Gros,"resonnances_mystiques, voir",2,7.6
1204,Phénoménologie de l'esprit (1807),G. W. F. Hegel,"la_gnose, resonnances_mystiques",2,7.6
1382,Traité de l'amour,Ibn Arabi,"developpement_personnel, la_gnose",2,7.6
1408,Une brève histoire du temps (1988),Stephen Hawking,"developpement_personnel, resonnances_mystiques",2,7.6
1437,Walden (1854),Henry David Thoreau,voir,2,7.6
282,Fables,Ésope,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.5
406,L'Art de la guerre,Sun Tzu,"developpement_personnel, resonnances_mystiques",2,7.5
429,L'Esprit du zen (1936),Alan Watts,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.5
485,L'errant,Khalil Gibran,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.5
590,La Grâce de solitude (2006),"Marie de Solemne, Christian Bobin, Jean-Michel Besnier, Théodore Monod, Jean-Yves Leloup","097_tradition_primordiale, resonnances_mystiques",2,7.5
608,La Mère,Maxime Gorki,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.5
801,Le Guerrier pacifique (1980),Dan Millman,"resonnances_mystiques, voir",2,7.5
865,Le Prophète (1923),Khalil Gibran,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.5
1254,Pères et Fils (1862),Ivan Tourguéniev,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.5
85,Catégories - De l'interprétation,Aristote,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.4
238,En attendant Godot (1952),Samuel Beckett,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.4
