,Titres,Auteur(s),Liste,recensé,Notes
990,Les Enténébrés,Sarah Chiche,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7
1001,Les Jours et les Nuits (1897),Alfred Jarry,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7
1041,Les décisions absurdes : Sociologie des erreurs radicales et persistantes,Christian Morel,resonnances_mystiques,1,7
1051,Les lumières de l'invisible (2013),"Patricia Darré, Alexandre Adler",etats_de_conscience,1,7
1063,Les tribulations d'une chamane à Paris,Corinne Sombrun,etats_de_conscience,1,7
1096,Maladie mentale et psychologie (1962),Michel Foucault,un_chemin_spirituel,1,7
1166,Odes mystiques,Djalâl Al-Dîn Rûmi,developpement_personnel,1,7
1225,Pourquoi sommes-nous capitalistes (malgré nous) ?,Denis Colombi,resonnances_mystiques,1,7
1229,Present et avenir,Carl Gustav Jung,un_chemin_spirituel,1,7
1307,Saturne (2020),Sarah Chiche,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7
1469,Éloge de la faiblesse (1999),Alexandre Jollien,un_chemin_spirituel,1,7
129,Conversations avec Dieu - 1 (1995),Neale Donald Walsch,voir,1,6.9
210,Diplomatie,Henry Kissinger,resonnances_mystiques,1,6.9
237,Eloge du peu,Ryunosuke Koike,resonnances_mystiques,1,6.9
273,Evangiles apocryphes (1983),France Quéré,resonnances_mystiques,1,6.9
329,Histoire de la sorcellerie,Colette Arnould,etats_de_conscience,1,6.9
428,L'Espoir (1937),André Malraux,resonnances_mystiques,1,6.9
504,L'Âme du monde (2012),Frédéric Lenoir,un_chemin_spirituel,1,6.9
510,L'Ère de l'individu tyran (2020),Eric Sadin,resonnances_mystiques,1,6.9
578,La Flamme de l'attention (1983),Jiddu Krishnamurti,developpement_personnel,1,6.9
689,La chamane blanche (1998),Olga Kharitidi,etats_de_conscience,1,6.9
699,La fin du travail (1995),Jeremy Rifkin,resonnances_mystiques,1,6.9
833,Le Matérialisme dialectique,Henri Lefèbvre,resonnances_mystiques,1,6.9
977,Les Besoins artificiels,Razmig Keucheyan,resonnances_mystiques,1,6.9
1111,Maître Eckhart et la mystique rhénane (1978),Jeanne Ancelet-Hustache,developpement_personnel,1,6.9
1333,Spinoza avait raison (2003),António R. Damásio,un_chemin_spirituel,1,6.9
1370,Théorie de la justice (1971),John Rawls,resonnances_mystiques,1,6.9
1409,Une fenêtre sur les rêves : Neuropathologie et pathologies du sommeil,Isabelle Arnulf,un_chemin_spirituel,1,6.9
283,Fabuler la fin du monde (2019),Jean-Paul Engélibert,resonnances_mystiques,1,6.8
284,Festivus festivus (2008),"Philippe Muray, Elisabeth Levy",resonnances_mystiques,1,6.8
369,"J'ai tué le fils du chef - Affaire Grégory, le roman de la Vologne 1984-2018",Denis Robert,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,6.8
454,L'Invisible et la science (2014),Patricia Darré,etats_de_conscience,1,6.8
525,L'Être et l'Événement (1988),Alain Badiou,resonnances_mystiques,1,6.8
678,La Vie heureuse (58),Sénèque,resonnances_mystiques,1,6.8
775,Le Contrat naturel (1990),Michel Serres,resonnances_mystiques,1,6.8
864,Le Profit avant l'homme (2004),Noam Chomsky,resonnances_mystiques,1,6.8
1291,Réenchanter le monde (2006),"Bernard Stiegler, Ars Industrialis",resonnances_mystiques,1,6.8
1331,Sortez-nous de cette crise ... Maintenant !,Paul Krugman,resonnances_mystiques,1,6.8
1375,Toutes les religions n'en sont qu'une seule,William Blake,la_gnose,1,6.8
1383,Traité de la cabane solitaire,Antoine Marcel,resonnances_mystiques,1,6.8
1472,Éloge des frontières (2010),Régis Debray,resonnances_mystiques,1,6.8
1475,Émile ou De l'éducation (1762),Jean-Jacques Rousseau,resonnances_mystiques,1,6.8
172,De la constance du sage,Sénèque,sophia_perennis,1,6.7
213,Discours de la méthode (1637),René Descartes,la_gnose,1,6.7
264,Essai sur les données immédiates de la conscience - Chapitre 2,"Henri Bergson, Raphaël Ehrsam",un_chemin_spirituel,1,6.7
315,Happycratie,"Edgar Cabanas, Eva Illouz",resonnances_mystiques,1,6.7
746,La voie du magicien,Deepak Chopra,voir,1,6.7
808,Le Kybalion (1908),,la_gnose,1,6.7
875,Le Sacré dans la vie quotidienne (2016),Michel Leiris,etats_de_conscience,1,6.7
897,Le Terrorisme intellectuel,Jean Sévillia,resonnances_mystiques,1,6.7
1002,Les Lois fondamentales de la stupidité humaine (1976),Carlo M. Cipolla,resonnances_mystiques,1,6.7
1099,Manières de faire des mondes (1978),Nelson Goodman,resonnances_mystiques,1,6.7
1369,Théogonie · Les Travaux et les Jours · Le Bouclier,Hésiode,sophia_perennis,1,6.7
272,Evangile selon Thomas,Saint Thomas,la_gnose,1,6.6
306,Gouverner par le chaos,Lucien Cerise,resonnances_mystiques,1,6.6
309,Guerre et paix chez les atomes,Sam Kean,resonnances_mystiques,1,6.6
362,Introduction à l'économie,Jacques Généreux,resonnances_mystiques,1,6.6
529,L'économie est une science morale,Amartya Sen,resonnances_mystiques,1,6.6
662,La Sorcière (1996),Marie Ndiaye,etats_de_conscience,1,6.6
975,Les Aventures de Télémaque (1699),Fénelon,la_gnose,1,6.6
1338,Sur l'interprétation des rêves,Carl Gustav Jung,un_chemin_spirituel,1,6.6
1465,Éloge de l'oisiveté,Sénèque,resonnances_mystiques,1,6.6
12,Alchimie et mystique,Alexander Roob,la_gnose,1,6.5
1146,Nadja (1928),André Breton,voir,1,6.5
439,L'Homme qui voulait être heureux (2008),Laurent Gounelle,developpement_personnel,1,6.4
782,Le Cœur synthétique (2020),Chloé Delaume,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,6.4
842,Le Mystère des Cathédrales (1926),Fulcanelli,la_gnose,1,6.4
846,Le Mythe de la bonne gnose (1989),Jean Vaquié,la_gnose,1,6.4
952,Le secret,Rhonda Byrne,etats_de_conscience,1,6.4
1216,Pour un catastrophisme éclairé,Jean-Pierre Dupuy,resonnances_mystiques,1,6.4
30,Antispéciste (2016),Aymeric Caron,voir,1,6.3
142,Cosmos (2015),Michel Onfray,resonnances_mystiques,1,6.3
232,Développement (im)personnel (2019),Julia de Funès,resonnances_mystiques,1,6.3
338,Ho'oponopono,"Luc Bodin, Marie-Elisa Hurtado-Graciet",etats_de_conscience,1,6.3
1264,Randonnée au mont Wachusett (1842),Henry David Thoreau,voir,1,6.3
1392,Traités 45-50 (269),Plotin,la_gnose,1,6.3
80,Caisses,Christophe Tarkos,resonnances_mystiques,1,6.2
104,Comme le fleuve qui coule,Paulo Coelho,voir,1,6.2
140,Cosmogonies (2020),Julien d'Huy,resonnances_mystiques,1,6.2
396,L'Alchimiste (1988),Paulo Coelho,voir,1,6.2
427,L'Espace public,Jürgen Habermas,resonnances_mystiques,1,6.2
615,La Nouvelle Atlantide (1622),Francis Bacon,la_gnose,1,6.2
635,La Prophétie des Andes (1993),James Redfield,etats_de_conscience,1,6.2
714,La nuit je suis Buffy Summers,Chloé Delaume,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,6.2
1119,Miracle Morning (2012),Hal Elrod,un_chemin_spirituel,1,6.2
1403,Un souffle vers l'éternité (2012),Patricia Darré,etats_de_conscience,1,6.2
1468,Éloge de la calvitie,Synésios de Cyrène,resonnances_mystiques,1,6.2
577,La Fin de l'histoire et le dernier homme,Francis Fukuyama,resonnances_mystiques,1,6.1
961,Le syndrome du bien-être,"Carl Cederstrom, Andrew Spicer",resonnances_mystiques,1,6.1
1458,Écrits gnostiques,Collectif,la_gnose,1,6.1
5,Abrégé de la doctrine secrète (1923),Helena Blavatsky,la_gnose,1,6
217,Divertir pour dominer,Offensive,resonnances_mystiques,1,6
691,La danse des grand-mères,Clarissa Pinkola-Estes,etats_de_conscience,1,6
1214,Pop Wuh (1554),,developpement_personnel,1,5.9
242,Enfance d'un chaman,Anne Sibran,etats_de_conscience,1,5.7
389,Krishnamurti - La nécessité d'être seul,Jiddu Krishnamurti,developpement_personnel,1,5.7
825,Le Livre du voyage (1997),Bernard Werber,voir,1,5.7
971,Les 5 blessures qui empêchent d'être soi-même,Lise Bourbeau,etats_de_conscience,1,5.7
483,L'autre côté de la vie,Philippe Ragueneau,etats_de_conscience,1,5.6
1004,Les Noces Chymiques de Christian Rosenkreutz (1616),Johann Valentin Andreae,la_gnose,1,5.5
1427,Vivre dans un monde en crise (2005),Jiddu Krishnamurti,la_gnose,1,5.5
1046,Les grands Initiés,Edouard Schuré,la_gnose,1,5.4
1419,Vie de Jésus (1863),Ernest Renan,la_gnose,1,5.3
813,Le Livre de Thoth (1944),Aleister Crowley,la_gnose,1,5.1
1078,Livre des Secrets de Jean,Anonyme,la_gnose,1,5
137,"Corpus Hermeticum, tome II",Hermès Trismégiste,sophia_perennis,1,4.9
138,"Corpus Hermeticum, tome III",Hermès Trismégiste,sophia_perennis,1,4.9
139,"Corpus Hermeticum, tome IV",Hermès Trismégiste,sophia_perennis,1,4.9
254,Epître Apocryphe de Jacques,,la_gnose,1,4.7
390,Kétamine (2020),Zoé Sagan,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,4.6
136,"Corpus Hermeticum, tome I",Hermès Trismégiste,sophia_perennis,1,4.5
1237,Prière de l'Apôtre Paul,,la_gnose,1,4.1
3,"900 conclusions philosophiques, cabalistiques et théologiques (1486)",Jean Pic de La Mirandole,la_gnose,1,
7,Ainsi parlait H. D. Thoreau,Henry David Thoreau,voir,1,
9,Al-Burda,Al-Busayri,developpement_personnel,1,
11,Alchimie : Nouvelles études diverses sur la Discipline alchimique et le Sacré hermétique,"Eugène Canseliet, Sylvaine Canseliet",la_gnose,1,
14,Aller-retour vers l'au-delà,Isabelle Challut,etats_de_conscience,1,
15,Alliance de feu - tome 1,Annick de Souzenelle,097_tradition_primordiale,1,
16,Alliance de feu - tome 2,Annick de Souzenelle,097_tradition_primordiale,1,
17,"Alliance galactique suivi de la méditation ""j'accepte""",Anne Givaudan,la_gnose,1,
18,Allogène,Anonyme,la_gnose,1,
21,Andronic et le Serpent (1937),Mircea Eliade,la_gnose,1,
24,"Anna, grand-mère de Jésus",Claire Heartsong,la_gnose,1,
27,Anthropologie de l'Etat,Marc Abélès,resonnances_mystiques,1,
28,Anthropologie du sacré,Régis Boyer,etats_de_conscience,1,
36,Apocalyptique de Pierre (Gnostique),Anonyme,la_gnose,1,
37,Apprentissage de la méditation,sharon salzberg,etats_de_conscience,1,
41,Arcanes célestes,Emanuel Swedenborg,la_gnose,1,
42,Articles et Comptes-Rendus (2002),René Guénon,097_tradition_primordiale,1,
43,Ashrams,Arnaud Desjardins,097_tradition_primordiale,1,
46,Astrologie,Aleister Crowley,la_gnose,1,
47,Astronomie des anciens,Yaël Nazé,resonnances_mystiques,1,
49,Atlas des plantes hallucinogènes (1976),Richard Evans Schultes,etats_de_conscience,1,
50,Au coeur de la sagesse amérindienne,Jamie Sams,etats_de_conscience,1,
52,Au fil de l'eau,Collectif,voir,1,
55,Auto-hypnose : technique et pratiques,Jean Paul Guyonnaud,etats_de_conscience,1,
56,Autobiographie du Soufi Ahmad Ibn'Agiba,J.L. Michon,developpement_personnel,1,
60,Aux sources de la vie (2018),Eric Karsenti,resonnances_mystiques,1,
61,Aux sources du psychédélique,Guy Morin,etats_de_conscience,1,
64,Avicenne et le récit visionnaire (1999),Henry Corbin,developpement_personnel,1,
66,Ayahuasca - Le chemin de l'âme,Géraldine Correia,etats_de_conscience,1,
67,Ayahuasca du serpent au jaguar,Yves Duc,etats_de_conscience,1,
68,"Ayn Rand, femme capital",Stéphane Legrand,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
69,"Baba Vanga, la plus grande médium du XXème siècle",RINA,etats_de_conscience,1,
70,Beltane,Melanie Marquis,etats_de_conscience,1,
71,Big Bang (2018),Jean-Philippe Uzan,resonnances_mystiques,1,
75,Bouddha au temps des neurosciences,James Kingsland,etats_de_conscience,1,
76,Briller de sa propre lumière,Jiddu Krishnamurti,un_chemin_spirituel,1,
79,Bushidô la voie des samouraïs,"Philippe Baillet, Rinaldo Massi",097_tradition_primordiale,1,
82,Cannonball,Sylvia Hansel,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
86,Ce que les peuples racines ont à nous dire,Frederika Van Ingen,etats_de_conscience,1,
87,Ce que nous ne saurons jamais - Voyage aux frontières de la science (2019),Marcus du Sautoy,resonnances_mystiques,1,
88,Ces substances interdites (pour l'instant) qui guérissent (2021),Stéphanie Chayet,etats_de_conscience,1,
91,Chaman,Galsan Tschinag,etats_de_conscience,1,
93,Chamanes célestes (2016),Kevin Turner,voir,1,
94,Chamanisme au quotidien,Collectif,etats_de_conscience,1,
95,Chartres et la naissance de la cathédrale,Titus Burckhardt,097_tradition_primordiale,1,
97,Cheminer avec l'ange,"Annick de Souzenelle, Pierre-Yves Albrecht",097_tradition_primordiale,1,
100,Christianisme et paganisme,Ramsay Mac Mullen,etats_de_conscience,1,
105,Comment décupler les effets de la loi de l'attraction,"Joe Vitale, Daniel Barrett",etats_de_conscience,1,
106,Comment l'activisme quantique peut sauver l'humanité,Amit Goswami,etats_de_conscience,1,
107,Comment réenchanter le monde ? (2019),Serge Latouche,resonnances_mystiques,1,
108,Comment réussir dans un monde d'égoïstes (1984),Robert Axelrod,resonnances_mystiques,1,
110,Commentaire du Verset de la Lumière,Mullâ Sadrâ,developpement_personnel,1,
111,Commentaire sur le Parménide de Platon,Proclus,la_gnose,1,
119,Conscience chamanique,Amand-Jules Corine,etats_de_conscience,1,
120,Conscience et physique quantique,Pierre Uzan,etats_de_conscience,1,
122,Contes initiatiques des soufis (1970),Idries Shah,voir,1,
123,Contre Faustus le Manichéen,Saint Augustin,la_gnose,1,
126,Contre les Valentiniens,Tertullien,la_gnose,1,
128,Contributions à la philosophie de la Renaissance,Mircea Eliade,097_tradition_primordiale,1,
132,Conversations avec Dieu - Tome 4,Neale Donald Walsch,voir,1,
134,Corps pour corps,"Jeanne Favret-Saada, Josée Contreras",etats_de_conscience,1,
135,Corps subtil et corps causal,"Tara Michael, T. Michael",etats_de_conscience,1,
145,Croire,Joe Vitale,etats_de_conscience,1,
146,Croyances anciennes et superstitions modernes,Martin Lings,097_tradition_primordiale,1,
148,Créez votre cercle de femmes (2021),Roxane Marie Galliez,etats_de_conscience,1,
150,Curandera,René De Solier,etats_de_conscience,1,
156,Dans le bleu du ciel,Raymond Carasco,etats_de_conscience,1,
158,Danser le rêve,Jamie Sams,etats_de_conscience,1,
162,De l'alchimie,Paracelse,la_gnose,1,
168,De l'âme du monde (1798),Friedrich Wilhelm Joseph von Schelling,resonnances_mystiques,1,
170,De la cabale au progressisme (2012),Julio Meinvielle,la_gnose,1,
171,De la chevalerie au secret du temple,Jean Tourniac,097_tradition_primordiale,1,
176,De la gnose à l'oecumenisme (1984),Etienne Couvert,la_gnose,1,
181,De la nature du bien (399),Saint Augustin,la_gnose,1,
183,"De la thérapie au chamanisme, les principes chamaniques pour l'évolution du thérapeute",Bruno Repetto,etats_de_conscience,1,
186,De la vie super-sensuelle,Jakob Böhme,la_gnose,1,
187,De mémoire d'Essénien,"Daniel Meurois, Anne Givaudan",etats_de_conscience,1,
191,Des nombres pythagoriciens,Arturo Reghini,097_tradition_primordiale,1,
192,Des premiers principes,Damascius,la_gnose,1,
193,"Des sorcières aux mandarines, histoire des femmes médecins",Josette Dall'ava-Santucci,etats_de_conscience,1,
196,Deux plantes enseignantes: Le tabac & l'ayahuasca,"Jeremy Narby, Rafael Chanchari Pizuri",etats_de_conscience,1,
199,Devenir chaman,J. Creek,etats_de_conscience,1,
200,"Devenir chaman, même pas peur !",Marianne Grasseli Meier,etats_de_conscience,1,
206,Dictionnaire des symboles universels,Henry Normand,developpement_personnel,1,
211,"Dis-moi QUAND tu as mal, je te dirai pourquoi",Michel Odoul,etats_de_conscience,1,
219,Dix regles du soufisme,O.H. Al-Ghazali,developpement_personnel,1,
220,Doctrine du coeur,Annie Besant,la_gnose,1,
222,Drogues et plantes magiques (1983),Jean-Marie Pelt,etats_de_conscience,1,
223,Droit de mort et pouvoir sur la vie (2006),Michel Foucault,un_chemin_spirituel,1,
228,Défaut de verbe (2000),Ali Podrimja,resonnances_mystiques,1,
239,En quête de la Gnose I,Henri-Charles Puech,la_gnose,1,
240,En relisant les Évangiles,"Véronique Loiseleur, Arnaud Desjardins",097_tradition_primordiale,1,
241,Encyclopedia of Witchcraft,Judika Illes,etats_de_conscience,1,
249,Ennéades VI (2e partie) (301),Plotin,sophia_perennis,1,
252,Entretien avec une chamane sibérienne,Pierre-Yves Brandt,voir,1,
257,Esprit de Fès,Faouzi Skali,097_tradition_primordiale,1,
259,Essai de traduction du Coran,,developpement_personnel,1,
261,Essai sur l'histoire humaine de la nature,Serge Moscovici,resonnances_mystiques,1,
265,Essais de sciences maudites,Stanislas de Guaita,la_gnose,1,
267,Essais politiques,Julius Evola,097_tradition_primordiale,1,
270,"Etats de conscience, sophrologie et yoga","Pierre Etévenon, B. Santerre",etats_de_conscience,1,
276,Explorations,Julius Evola,097_tradition_primordiale,1,
277,Exposé du mythe valentinien,Anonyme,la_gnose,1,
278,Extractivisme,Anna Bednik,resonnances_mystiques,1,
279,"Extrait de ""La République"" de Platon",Anonyme,la_gnose,1,
280,Extrait du discours parfait d'Hermès trismégiste à Asclépius,Anonyme,la_gnose,1,
281,Exégèse de l'âme,Anonyme,la_gnose,1,
286,Fictions géopolitiques,Fredric Jameson,resonnances_mystiques,1,
287,Fondement du droit naturel (1796),Johann Gottlieb Fichte,resonnances_mystiques,1,
298,Fêtes à travers les âges,Pierre Gordon,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
299,Ganja Yoga,Dee Dussault,etats_de_conscience,1,
303,Gnose chrétienne et gnose anti-chrétienne (1989),Jean Vaquié,la_gnose,1,
305,Goddesses in Everywoman (1984),Jean Shinoda Bolen,etats_de_conscience,1,
307,Grimoire des plantes de sorcière,Erika Laïs,etats_de_conscience,1,
310,Guide du pays des Dakinis : tantra yoga,Gyatso Kelsang,etats_de_conscience,1,
311,Guérir l'esprit,"Jean-Yves Leloup, Faouzi Skali, Denis Teundroup",097_tradition_primordiale,1,
312,Guérisseurs et chamanes dans les civilisations traditionnelles,M. Lorler,etats_de_conscience,1,
313,Hallucinogène,Lou Lubie,etats_de_conscience,1,
314,Hallucinogènes et chamanisme,Michael Harner,etats_de_conscience,1,
316,"Haute-Magie et Théurgie: Enseignements, Initiations et Rituels de l'ORDO TEMPLARI GNOSTICA",,la_gnose,1,
317,Healing Dream and Ritual,Carl Alfred Meier,etats_de_conscience,1,
318,"Henry Corbin, penseur de l'islam spirituel",Daryush Shayegan,developpement_personnel,1,
324,Histoire de l'alchimie et des alchimistes au Maroc,Kacem Aït Salah Semlali,la_gnose,1,
328,Histoire de la rue (2022),"Danielle Tartakowsky, Joël Cornette, Catherine Saliou, Claude Gauvard, Emmanuel Fureix",resonnances_mystiques,1,
330,Histoire de la théologie,J.Y. Lacoste,resonnances_mystiques,1,
333,Histoire générale de la Franc-Maçonnerie (1987),Paul Naudon,la_gnose,1,
336,Histoires et usages des plantes psychotropes (2018),Sébastien Baud,etats_de_conscience,1,
340,Homo Mythologicus (2022),Pierre-Yves Lenoble,sophia_perennis,1,
343,Hypostase des Archontes,Anonyme,la_gnose,1,
344,"Hypsiphroné, suivi de Sentences de Sextus et Fragments de traités",Anonyme,la_gnose,1,
350,Images et messages de l'au-delà,Monique Simonet,etats_de_conscience,1,
352,Imbolc,Carl F. Neal,etats_de_conscience,1,
353,Immortalité et Réincarnation (2000),Alexandra David-Néel,etats_de_conscience,1,
357,Initiation à la Kabbale,Haziel,la_gnose,1,
363,Introduction à l'ésotérisme chrétien,Abbé Stéphane,la_gnose,1,
366,Introduction à la psychologie jungienne,Carl Gustav Jung,un_chemin_spirituel,1,
373,Jouer avec les synchronicités dans la vie quotidienne,Robert Moss,etats_de_conscience,1,
375,"Journal, 1953-1978",Guy Dupré,resonnances_mystiques,1,
376,"Julius Evola, René Guénon et le Christianisme",Daniel Cologne,le_traditionalisme,1,
377,"Julius Evola, le visionnaire foudroyé",,le_traditionalisme,1,
384,"Jésus, le maître de Nazareth",Aleksandr Volfovitch Men,resonnances_mystiques,1,
386,Kaivalya Upanishad,Collectif,sophia_perennis,1,
387,Kalawaya (2017),Henri Gougaud,etats_de_conscience,1,
388,Kindling the Native Spirit,Denise Linn,etats_de_conscience,1,
395,"L'Alchimie spirituelle, technique de la voie intérieure",Robert Ambelain,la_gnose,1,
401,L'Arbre du monde,Ibn Arabi,developpement_personnel,1,
402,L'Archange empourpré,Shihâboddîn Yahya Sohravardî,developpement_personnel,1,
403,L'Archéomètre (1911),Alexandre Saint-Yves d'Alveydre,la_gnose,1,
408,L'Aurore naissante (1612),Jakob Böhme,la_gnose,1,
417,L'Encyclopédie des Plantes Magiques,Scott Cunningham,etats_de_conscience,1,
419,L'Ennuagement du coeur,Rûzbehân,developpement_personnel,1,
431,L'Evangile selon Nick Cave : Le Gospel de l'âge du fer rouillé (2020),Arthur-Louis Cingualte,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
433,L'Herne : René Guénon,René Guénon,097_tradition_primordiale,1,
435,L'Homme et l'Invisible (1964),Jean Servier,097_tradition_primordiale,1,
436,L'Homme et son ange,"Henry Corbin, Roger Munier",097_tradition_primordiale,1,
449,L'Inspiration chamanique au quotidien (2018),"Alexandra Dechezelle, Laurence Malé",etats_de_conscience,1,
451,L'Intelligence du christianisme,Alain Pascal,la_gnose,1,
456,L'Islam et la fonction de René Guénon,Michel Vâlsan,le_traditionalisme,1,
461,L'Oiseau à quatre ailes,Fazil Husnu Daglarca,resonnances_mystiques,1,
465,"L'Unité cachée : Judaïsme, christianisme, islam",Antoine Schwarz,developpement_personnel,1,
466,L'Univers bactériel (1986),"Lynn Margulis, Dorion Sagan",resonnances_mystiques,1,
472,L'alchimie et son code symbolique,Gabriel E. Monod-Herzen,la_gnose,1,
476,L'arbre sacré,Luma,etats_de_conscience,1,
477,L'arc et la flèche,Annick de Souzenelle,097_tradition_primordiale,1,
480,L'ascension du regard vers les réalités du soufisme,Ibn'ajiba,developpement_personnel,1,
481,L'audace de vivre,Arnaud Desjardins,097_tradition_primordiale,1,
482,L'audace de vivre,"Véronique Loiseleur, Arnaud Desjardins",097_tradition_primordiale,1,
484,L'enseignement de l'ayahuasca (2003),Romuald Leterrier,etats_de_conscience,1,
487,L'esprit du yoga,Ysé Tardan-Masquelier,etats_de_conscience,1,
488,"L'essentiel Max Müller : langue, mythologie et religion (2002)",Max Müller,097_tradition_primordiale,1,
489,L'essentiel de la religion musulmane,Ibn Ashir,developpement_personnel,1,
490,L'expérienceur,Jean Morzelle,etats_de_conscience,1,
497,L'initiation,"Pierre-Yves Albrecht, Annick de Souzenelle",097_tradition_primordiale,1,
511,L'Échange impossible (1999),Jean Baudrillard,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
526,L'âge productiviste (2019),Serge Audier,resonnances_mystiques,1,
527,L'âme de tout apostolat,Jean-Baptiste Chautard,resonnances_mystiques,1,
528,L'économie antique (1973),Moses I. Finley,resonnances_mystiques,1,
533,L'énergie des couleurs,"M.J. Laffez, J.P . Laffez",etats_de_conscience,1,
535,L'éveil de l'énergie féminine,Miranda Gray,etats_de_conscience,1,
536,L'éveil de la kundalini,Marc-Alain Descamps,un_chemin_spirituel,1,
537,L'éveil des sorcières (2019),Katia Bougchiche,etats_de_conscience,1,
538,L'éveil psychédélique,Olivier Chambon,etats_de_conscience,1,
554,La Conscience élargie (2016),Jean-Pierre Cléry,etats_de_conscience,1,
559,La Danse du serpent,Romuald Leterrier,etats_de_conscience,1,
576,La Figure du travailleur chez Ernst Jünger,Julius Evola,097_tradition_primordiale,1,
582,La Gnose,Hans Leisegang,la_gnose,1,
584,La Gnose contre la foi,Etienne Couvert,la_gnose,1,
585,La Gnose de Princeton (1974),Raymond Ruyer,la_gnose,1,
600,La Marche vers l'éveil,Shantideva,resonnances_mystiques,1,
601,"La Mecque, des origines à nos jours",Martin Lings,097_tradition_primordiale,1,
607,La Mystique rhénane (1994),Alain de Libera,resonnances_mystiques,1,
610,La Métaphysique de René Guénon,Jean-Marc Vivenza,le_traditionalisme,1,
613,La Nature de la pensée,Jiddu Krishnamurti,developpement_personnel,1,
617,La Paix de la foi (1453),Nicolas de Cues,le_traditionalisme,1,
618,La Parallaxe,Slavoj Žižek,resonnances_mystiques,1,
627,La Philosophie iranienne islamique aux XVIIe et XVIIIe siècles,Henry Corbin,097_tradition_primordiale,1,
634,La Profession de foi,Ibn Arabi,developpement_personnel,1,
637,La Pré-Kabbale,Alain Pascal,la_gnose,1,
644,La Révolution Psychédélique (2020),"Olivier Chambon, Jocelin Morisson",etats_de_conscience,1,
649,La Sagesse interdite (2022),Stephan Schillinger,etats_de_conscience,1,
650,La Sauge des chamans (2016),Marie Delclos,etats_de_conscience,1,
653,La Situation spirituelle de notre époque (1930),Karl Jaspers,resonnances_mystiques,1,
675,La Trilogie des Rose-Croix,Christian Rosenkreutz,la_gnose,1,
682,La Voie de l'éloquence,Ali ibn Abi Talib,developpement_personnel,1,
683,La Voie du Paganisme,,etats_de_conscience,1,
685,La Voie et la Loi,Ibn Khaldoun,la_gnose,1,
686,La Voie rationnelle,Matgioi,097_tradition_primordiale,1,
693,La divinité des plantes,"D. Franley, L. Vasabt",etats_de_conscience,1,
696,La femme lunaire,Miranda Gray,etats_de_conscience,1,
697,La femme shakti : le nouveau chamanisme féminin,Vicki E. Noble,etats_de_conscience,1,
702,La guérison par les fleurs (1994),Edward Bach,etats_de_conscience,1,
703,"La langue des oiseaux, ésoterisme et littérature",Richard Khaitzine,097_tradition_primordiale,1,
704,La langue hébraïque restituée et le véritable sens des mots hébreux rétabli et prouvé par leur analyse radicale (1816),Antoine Fabre D'olivet,developpement_personnel,1,
705,La lumière,,resonnances_mystiques,1,
707,La lumière vient de l'occident,Daryush Shayegan,developpement_personnel,1,
708,La maison humaine et son origine sacrée,Pierre Gordon,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
709,La métempsychose (2009),Gérard de Nerval,la_gnose,1,
711,"La nature sacrée de la femme : corps sacré, plantes, lunes, méditations, pierres, énergies, chamanisme",Fabienne Goddyn,etats_de_conscience,1,
712,La notion gnostique de Démiurge,Robert Ambelain,la_gnose,1,
713,La nuit du Peyotl,Jean-Marc Tisserant,etats_de_conscience,1,
717,La paix toujours présente,Arnaud Desjardins,097_tradition_primordiale,1,
718,La parole habitee les grandes voies du prophetisme,Sylvie Barnay,resonnances_mystiques,1,
719,La pensée première à la triple forme,Anonyme,la_gnose,1,
722,La poésie et la gnose,Yves Bonnefoy,la_gnose,1,
724,La psychologie selon la synagogue de satan et dans l’église de Dieu (2018),Pascal Treffainguy,la_gnose,1,
726,La respiration holotropique,Patrick Baudin,etats_de_conscience,1,
727,La roue de médecine des Indiens d'Amérique : recettes et remèdes traditionnels,Daniel Lamarre,etats_de_conscience,1,
730,La secrète,Christian Gabrielle Guez Ricord,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
732,La sorcellerie des campagnes,Charles Lancelin,etats_de_conscience,1,
734,"La synchronicité, l'âme et la science","Pierre Solié, Marie-Louise von Franz, Hansueli Etter, Karl H. Pribram, Michel Cazenave, Hubert Reeves, Collectif",etats_de_conscience,1,
739,La voie de l'activisme sacré (2024),Claire Garin,etats_de_conscience,1,
741,La voie de la transformation,Étienne Perrot,la_gnose,1,
742,La voie du Yoga Derviche,Eve A. Bataille,etats_de_conscience,1,
747,La voie et ses pièges,Arnaud Desjardins,097_tradition_primordiale,1,
749,La vérité sur les manuscrits de la Mer Morte (1983),Étienne Couvert,la_gnose,1,
750,"Labyrinthe, le tatouage de la Terre (2023)",Stéphanie Lafranque,etats_de_conscience,1,
